CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
OCPBC4375,PRESA DERIVADORA MORELOS,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,PRESA DERIVADORA MORELOS (CANAL REFORMA),LÓTICO (HUMEDAL),CANAL,-114.730556,32.705833,2022,<2,Excelente,18,Buena calidad,10,Excelente,460,Aceptable,,,,,94.6,Excelente,,,,,,,,,,,,,,,,,,,Verde,,SI,SI,SI,SI,ND,ND,SI,SI,LOTICO
OCPBC4379,SISTEMA DE HUMEDALES REMANENTES DEL DELTA DEL RIO COLORADO 9,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,LAGUNA GRANDE-RIO COLORADO,LÉNTICO (HUMEDAL),LAGUNA,-115.052889,32.220583,2022,<2,Excelente,11.7,Buena calidad,<10,Excelente,2909,Contaminada,10,Excelente,,,,,57.8,Buena calidad,,,56.6,Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
OCPBC4381,RIO COLORADO-YURIMURY,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RÍO COLORADO,LÓTICO (HUMEDAL),RÍO,-115.207583,32.038694,2022,11.97,Aceptable,44,Contaminada,23,Excelente,150,Buena calidad,,,,,100.8,Excelente,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,ND,ND,SI,SI,LOTICO
OCPBC4382,DESCARGA RIO HARDY (RIO COLORADO),PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RÍO HARDY,LÓTICO (HUMEDAL),RÍO,-115.27875,32.155,2022,25.9,Aceptable,94,Contaminada,28,Buena calidad,460,Aceptable,,,,,130.5,Contaminada,,,,,,,,,,,,,,,,,,,Rojo,"DQO,OD%L,",SI,NO,SI,SI,ND,ND,NO,SI,LOTICO
OCPBC4383,RIO COLORADO 12,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RIO COLORADO,LÓTICO,RÍO,-115.218611,32.179194,2022,4.16,Buena calidad,63.64,Contaminada,18.5,Excelente,24196,Fuertemente contaminada,20,Excelente,,,107.5,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LOTICO
OCPBC4384,RIO COLORADO 14,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RIO COLORADO,LÓTICO,RÍO,-115.196028,32.239194,2022,5.24,Buena calidad,79.64,Contaminada,45.1,Buena calidad,19863,Fuertemente contaminada,132,Buena calidad,,,108.1,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LOTICO
OCPBC4385,RIO HARDY CRUCE CARRETERA CAMPO LA MARIANA,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RÍO HARDY,LÓTICO (HUMEDAL),RÍO,-115.287887,32.227207,2022,17.9,Aceptable,44,Contaminada,25,Excelente,460,Aceptable,,,,,80.4,Excelente,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,ND,ND,SI,SI,LOTICO
OCPBC4393,RIO NUEVO 1,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN XOCHIMILCO,LÓTICO,CANAL,-115.450333,32.535277,2022,9.12,Aceptable,98,Contaminada,297,Contaminada,2765,Contaminada,,,,,97.25,Excelente,,,,,,,,,,,,,,,,,,,Rojo,"DQO,SST,CF,",SI,NO,NO,NO,ND,ND,SI,SI,LOTICO
OCPBC4396,DREN COLECTOR DEL NORTE,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN COLECTOR DEL NORTE,LÓTICO,DREN,-115.427472,32.573527,2022,14.76,Aceptable,94,Contaminada,70.5,Buena calidad,55230,Fuertemente contaminada,,,,,88.85,Excelente,,,,,,,,,,,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,ND,ND,SI,SI,LOTICO
OCPBC4399W1,LAGUNA XOCHIMILCO,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,LAGUNA XOCHIMILCO,LÉNTICO,LAGUNA,-115.447403,32.604863,2022,9.8,Aceptable,91,Contaminada,22.1,Excelente,750,Aceptable,,,,,91.7,Excelente,,,,,,,,,,,,,,,<1,No Toxico,,,Rojo,"DQO,",SI,NO,SI,SI,ND,ND,SI,SI,LENTICO
OCPBC4400,DREN MEXICALI (RIO NUEVO),PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN MEXICALI,LÓTICO,DREN,-115.445189,32.605761,2022,16.1,Aceptable,122.5,Contaminada,20.5,Excelente,11050,Fuertemente contaminada,,,,,70.6,Excelente,,,,,,,,,,,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,ND,ND,SI,SI,LOTICO
OCPBC4407,SALIDA LAGUNA MEXICO,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,LAGUNA MÉXICO,LÓTICO,DREN,-115.460032,32.595248,2022,9.965,Aceptable,62,Contaminada,20,Excelente,241.5,Aceptable,,,,,95,Excelente,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,ND,ND,SI,SI,LOTICO
OCPBC4410,DREN XOCHIMILCO,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,DREN XOCHIMILCO,LÓTICO,DREN,-115.460239,32.572755,2022,11.58,Aceptable,88,Contaminada,25.5,Buena calidad,251.5,Aceptable,,,,,97.05,Excelente,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,ND,ND,SI,SI,LOTICO
OCPBC4423,PUENTE MADERO (RÍO NUEVO),PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,RÍO NUEVO,LÓTICO,RÍO,-115.498448,32.663993,2022,17.1,Aceptable,140.5,Contaminada,18.5,Excelente,233500,Fuertemente contaminada,,,,,63.7,Buena calidad,,,,,,,,,,,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,ND,ND,SI,SI,LOTICO
OCPBC4433,CANAL ALIMENTADOR DEL AC. RIO COLORADO-TIJUANA,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA,MEXICALI,RÍO COLORADO,PROLONGACION DEL CANAL ALIMENTADOR CENTRAL,LÓTICO,CANAL,-115.650227,32.604905,2022,<2,Excelente,24,Aceptable,34,Buena calidad,43,Excelente,,,,,91.3,Excelente,,,,,,,,,,,,,,,,,,,Verde,,SI,SI,SI,SI,ND,ND,SI,SI,LOTICO
OCPNO4448,PUENTE NEGRO,PACÍFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,-107.41251,24.80935,2022,<2,Excelente,<10,Excelente,26.4,Buena calidad,24196,Fuertemente contaminada,15531,Fuertemente contaminada,,,71.5,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4449M1,RIO CULIACAN 5,PACÍFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,-107.40774,24.8054,2022,<2,Excelente,<10,Excelente,43.5,Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,74.7,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4455,RIO CULIACAN PUENTE USE,PACÍFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,-107.44814,24.79331,2022,3.54,Buena calidad,<10,Excelente,18.7,Excelente,6867,Contaminada,717,Aceptable,,,135.9,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,OD%L,",SI,SI,SI,NO,SI,ND,NO,SI,LOTICO
OCPNO4456,RIO CULIACAN 4,PACÍFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,-107.48228,24.7901,2022,8.1,Aceptable,35.03,Aceptable,30.8,Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,88.2,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4459,SAN PEDRO,PACÍFICO NORTE,SINALOA,NAVOLATO,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,-107.55836,24.78496,2022,15.8,Aceptable,34.92,Aceptable,42.4,Buena calidad,12997,Fuertemente contaminada,4611,Fuertemente contaminada,,,90.4,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4464M1,RIO CULIACAN LA PIPIMA,PACÍFICO NORTE,SINALOA,NAVOLATO,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,-107.69964,24.69182,2022,3.32,Buena calidad,<10,Excelente,38.6,Buena calidad,15531,Fuertemente contaminada,441,Buena calidad,,,135.3,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,OD%L,",SI,SI,SI,NO,SI,ND,NO,SI,LOTICO
OCPNO4466,PUENTE LIMONCITO,PACÍFICO NORTE,SINALOA,NAVOLATO,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,-107.73146,24.75625,2022,<2,Excelente,17.39,Buena calidad,57.6,Buena calidad,24196,Fuertemente contaminada,232,Buena calidad,,,112.5,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4467M1,RH10-2 SINALOA,PACÍFICO NORTE,SINALOA,NAVOLATO,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,-107.6608,24.62845,2022,<2,Excelente,<10,Excelente,14.9,Excelente,9208,Contaminada,<3,Excelente,,,92.3,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4468,RIO CULIACAN 2,PACÍFICO NORTE,SINALOA,NAVOLATO,RÍO CULIACÁN,RIO CULIACAN,LÓTICO - COSTERO,ESTERO,-107.70863,24.5316,2022,,,,,11.7,Excelente,670,Aceptable,,,<3,Excelente,,,84.1,Excelente,,,,,,,,,,,,,<1,No Toxico,,,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPNO4469,RIO CULIACAN 1,PACÍFICO NORTE,SINALOA,NAVOLATO,RÍO CULIACÁN,RIO CULIACAN,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,-107.73111,24.49616,2022,,,,,26.8,Buena calidad,1054,Contaminada,,,<3,Excelente,,,83.3,Excelente,,,,,,,,,,,,,<1,No Toxico,,,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
OCPNO4471,ENSENADA PABELLONES 3,PACÍFICO NORTE,SINALOA,CULIACÁN,GRUPO DE CORRIENTES PABELLONES,CUERPO DE AGUA DEL HUMEDAL,COSTERO (HUMEDAL),BAHIA,-107.77221,24.49664,2022,,,,,16.9,Excelente,52,Excelente,,,<3,Excelente,,,105.8,Excelente,103.6,Excelente,102.2,Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPNO4472,BAHIA DE ALTATA SALIDA,PACÍFICO NORTE,SINALOA,CULIACÁN,GRUPO DE CORRIENTES PABELLONES,BAHIA ALTATA SALIDA,COSTERO,BAHIA,-107.8159,24.52105,2022,,,,,14.4,Excelente,249,Aceptable,,,<3,Excelente,,,106.7,Excelente,105.5,Excelente,104.8,Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPNO4475,LAGUNA CAIMANERO,PACÍFICO NORTE,SINALOA,NAVOLATO,GRUPO DE CORRIENTES PABELLONES,LAGUNA CAIMANERO,LÉNTICO (HUMEDAL),LAGO,-107.61197,24.61106,2022,<2,Excelente,41.77,Contaminada,33.7,Buena calidad,14136,Fuertemente contaminada,<3,Excelente,,,,,97.2,Excelente,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LENTICO
OCPNO4480,PRESA SANALONA 4,PACÍFICO NORTE,SINALOA,CULIACÁN,RÍO TAMAZULA,PRESA SINALOA,LÉNTICO (HUMEDAL),PRESA,-107.12249,24.82428,2022,<2,Excelente,<10,Excelente,86.4,Aceptable,2755,Contaminada,<3,Excelente,,,,,87.2,Excelente,66.1,Buena calidad,44.2,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
OCPNO4482,PRESA SANALONA 7,PACÍFICO NORTE,SINALOA,CULIACÁN,RÍO TAMAZULA,PRESA SINALOA,LÉNTICO (HUMEDAL),PRESA,-107.11535,24.8235,2022,<2,Excelente,<10,Excelente,40.6,Buena calidad,563,Aceptable,31,Excelente,,,,,116.7,Buena calidad,58.5,Buena calidad,55.6,Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCPNO4485,RIO CULIACAN 7,PACÍFICO NORTE,SINALOA,CULIACÁN,RÍO CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,-107.38848,25.01393,2022,<2,Excelente,<10,Excelente,66,Buena calidad,24196,Fuertemente contaminada,650,Aceptable,,,85.2,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4486,PRESA ADOLFO LOPEZ MATEOS 3,PACÍFICO NORTE,SINALOA,BADIRAGUATO,RÍO HUMAYA,PRESA ADOLFO LOPEZ MATEOS,LÉNTICO (HUMEDAL),PRESA,-107.3889,25.10275,2022,2.76,Excelente,<10,Excelente,<10,Excelente,279,Aceptable,10,Excelente,,,,,90.4,Excelente,28.7,Contaminada,25.1,Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%M,OD%F,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
OCPNO4487,PRESA ADOLFO LOPEZ MATEOS 2,PACÍFICO NORTE,SINALOA,BADIRAGUATO,RÍO HUMAYA,PRESA ADOLFO LOPEZ MATEOS,LÉNTICO (HUMEDAL),PRESA,-107.39996,25.16813,2022,3.84,Buena calidad,12.6,Buena calidad,35,Buena calidad,410,Aceptable,<3,Excelente,,,,,143.8,Contaminada,37.3,Aceptable,35.8,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%S,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
OCPNO4488,PRESA ADOLFO LOPEZ MATEOS 1,PACÍFICO NORTE,SINALOA,BADIRAGUATO,RÍO HUMAYA,PRESA ADOLFO LOPEZ MATEOS,LÉNTICO (HUMEDAL),PRESA,-107.42565,25.20128,2022,6.4,Aceptable,35.95,Aceptable,,,4884,Contaminada,748,Aceptable,,,,,70.2,Excelente,77.5,Excelente,77.5,Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,ND,NO,SI,ND,SI,SI,LENTICO
OCPNO4489,PRESA ADOLFO LOPEZ MATEOS 4,PACÍFICO NORTE,SINALOA,BADIRAGUATO,RÍO HUMAYA,PRESA ADOLFO LOPEZ MATEOS,LÉNTICO (HUMEDAL),PRESA,-107.39422,25.1706,2022,17.5,Aceptable,21.84,Aceptable,13.8,Excelente,471,Aceptable,10,Excelente,,,,,154.6,Fuertemente contaminada,109.3,Excelente,23.8,Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%S,OD%F,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
OCPNO4493,PRESA EUSTAQUIO BUELNA 5,PACÍFICO NORTE,SINALOA,SALVADOR ALVARADO,RÍO MOCORITO 1,PRESA EUSTAQUIO BUELNA,LÉNTICO (HUMEDAL),PRESA,-108.04578,25.4992,2022,5.2,Buena calidad,49.54,Contaminada,192,Contaminada,3873,Contaminada,41,Excelente,,,,,84.1,Excelente,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,SST,CF,",SI,NO,NO,NO,SI,ND,SI,SI,LENTICO
OCPNO4494,PRESA EUSTAQUIO BUELNA 3,PACÍFICO NORTE,SINALOA,SALVADOR ALVARADO,RÍO MOCORITO 1,PRESA EUSTAQUIO BUELNA,LÉNTICO (HUMEDAL),PRESA,-108.06044,25.5005,2022,<2,Excelente,24.36,Aceptable,21.2,Excelente,8664,Contaminada,987,Contaminada,,,,,148.3,Contaminada,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Amarillo,"CF,E_COLI,OD%S,",SI,SI,SI,NO,NO,ND,NO,SI,LENTICO
OCPNO4501,SALIDA DE LA PRESA EUSTAQUIO BUELNA,PACÍFICO NORTE,SINALOA,SALVADOR ALVARADO,RÍO MOCORITO 2,RIO MOCORITO,LÓTICO (HUMEDAL),RÍO,-108.089972,25.469531,2022,<2,Excelente,15.96,Buena calidad,11.5,Excelente,75,Excelente,<3,Excelente,,,138.1,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"OD%L,",SI,SI,SI,SI,SI,ND,NO,SI,LOTICO
OCPNO4503W1,RH10-1 SINALOA,PACÍFICO NORTE,SINALOA,GUASAVE,RÍO SINALOA 2,RIO SINALOA,LÓTICO (HUMEDAL),RÍO,-108.45669,25.32552,2022,7.5,Aceptable,10.92,Buena calidad,218.8,Contaminada,22470,Fuertemente contaminada,630,Aceptable,,,54.8,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"SST,CF,",SI,SI,NO,NO,SI,ND,SI,SI,LOTICO
OCPNO4504,LA BRECHA,PACÍFICO NORTE,SINALOA,GUASAVE,RÍO SINALOA 2,RIO SINALOA,LÓTICO,RÍO,-108.42355,25.37127,2022,10.2,Aceptable,13.44,Buena calidad,130.6,Aceptable,241960,Fuertemente contaminada,3110,Fuertemente contaminada,,,56.5,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4505,RIO SINALOA 5,PACÍFICO NORTE,SINALOA,GUASAVE,RÍO SINALOA 2,RIO SINALOA,LÓTICO,RÍO,-108.44489,25.44581,2022,10.5,Aceptable,13.44,Buena calidad,53.1,Buena calidad,4260,Contaminada,520,Buena calidad,,,53.8,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4506,RIO SINALOA 6,PACÍFICO NORTE,SINALOA,GUASAVE,RÍO SINALOA 2,RIO SINALOA,LÓTICO,RÍO,-108.44778,25.5491,2022,10.3,Aceptable,13.31,Buena calidad,126,Aceptable,4611,Contaminada,594,Aceptable,,,75.7,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4507M1,PRESA LUIS DONALDO COLOSIO 1,PACÍFICO NORTE,SINALOA,CHOIX,RÍO FUERTE 1,PRESA LUIS DONALDO COLOSIO,LÉNTICO (HUMEDAL),PRESA,-108.36081,26.89223,2022,5.44,Buena calidad,<10,Excelente,27.4,Buena calidad,493,Aceptable,10,Excelente,,,,,133.2,Contaminada,35.1,Aceptable,24.1,Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%S,OD%F,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
OCPNO4508,VADO DE GUASAVE,PACÍFICO NORTE,SINALOA,GUASAVE,RÍO SINALOA 2,RIO SINALOA,LÓTICO,RÍO,-108.45573,25.56385,2022,10,Aceptable,14.14,Buena calidad,113.1,Aceptable,5794,Contaminada,767,Aceptable,,,70.5,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4513,SISTEMA LAGUNAR SAN IGNACIO-NAVACHISTE-MACAPULE 1,PACÍFICO NORTE,SINALOA,GUASAVE,GRUPO DE CORRIENTE TPOPOLOBAMPO,CUERPO DE AGUA DEL HUMEDAL,COSTERO (HUMEDAL),LAGUNA,-108.66451,25.37967,2022,,,,,16.9,Excelente,249,Aceptable,,,<3,Excelente,,,101.1,Excelente,,,,,,,,,,,,,<1,No Toxico,,,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPNO4519,"FRENTE A PEMEX TOPOLOBAMPO SEG36, 1",PACÍFICO NORTE,SINALOA,AHOME,GRUPO DE CORRIENTE TPOPOLOBAMPO,LAGUNA DE SANTA MARIA TOPOLOBAMPO OHUIRA,COSTERO (HUMEDAL),LAGUNA,-109.03641,25.61304,2022,,,,,57,Buena calidad,41,Excelente,,,<3,Excelente,,,96.5,Excelente,,,,,,,,,,,,,<1,No Toxico,,,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPNO4522,LAGUNAS DE SANTA MARIA TOPOLOBAMPO-OHUIRA 1,PACÍFICO NORTE,SINALOA,AHOME,GRUPO DE CORRIENTE TPOPOLOBAMPO,LAGUNAS DE SANTA MARIA TOPOLOBAMPO-OHUIRA,COSTERO (HUMEDAL),LAGUNA,-109.0983,25.59692,2022,,,,,<10,Excelente,63,Excelente,,,10,Excelente,,,67.8,Buena calidad,,,,,,,,,,,,,<1,No Toxico,,,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,PACÍFICO NORTE,SINALOA,AHOME,GRUPO DE CORRIENTES TPOPOLOBAMPO,DREN JUAREZ,LÓTICO (HUMEDAL),DREN,-109.06683,25.70244,2022,86.5,Contaminada,118.18,Contaminada,84.7,Aceptable,24196,Fuertemente contaminada,145,Buena calidad,,,74.6,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DBO,DQO,CF,",NO,NO,SI,NO,SI,ND,SI,SI,LOTICO
OCPNO4527,RIO FUERTE 1,PACÍFICO NORTE,SINALOA,AHOME,RÍO FUERTE 2,RIO FUERTE,LÓTICO,RÍO,-109.13818,25.93136,2022,4.1,Buena calidad,11.82,Buena calidad,<10,Excelente,4106,Contaminada,462,Buena calidad,,,29.2,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,OD%L,",SI,SI,SI,NO,SI,ND,NO,SI,LOTICO
OCPNO4528,PUENTE SAN MIGUEL ZAPOTITLAN,PACÍFICO NORTE,SINALOA,AHOME,RÍO FUERTE 2,RIO FUERTE,LÓTICO (HUMEDAL),RÍO,-109.05444,25.95606,2022,<2,Excelente,34.15,Aceptable,<10,Excelente,17329,Fuertemente contaminada,2014,Fuertemente contaminada,,,43.9,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4529,RIO FUERTE 2,PACÍFICO NORTE,SINALOA,EL FUERTE,RÍO FUERTE 2,RIO FUERTE,LÓTICO,RÍO,-108.94002,25.95684,2022,4.24,Buena calidad,<10,Excelente,18.4,Excelente,7270,Contaminada,1616,Fuertemente contaminada,,,59.5,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCPNO4532,PRESA JOSEFA ORTIZ DE DOMINGUEZ 1,PACÍFICO NORTE,SINALOA,EL FUERTE,RÍO FUERTE 2,PRESA JOSEFA ORTIZ DE DOMINGUEZ,LÉNTICO (HUMEDAL),PRESA,-108.70803,26.43419,2022,<2,Excelente,<10,Excelente,16.9,Excelente,1467,Contaminada,31,Excelente,,,,,125.4,Aceptable,83.8,Excelente,33.2,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
OCPNO4535,PRESA JOSEFA ORTIZ DE DOMINGUEZ 5,PACÍFICO NORTE,SINALOA,EL FUERTE,RÍO FUERTE 2,PRESA JOSEFA ORTIZ DE DOMINGUEZ,LÉNTICO (HUMEDAL),PRESA,-108.67665,26.45624,2022,<2,Excelente,<10,Excelente,15.7,Excelente,3448,Contaminada,<3,Excelente,,,,,134.4,Contaminada,,,38.5,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,OD%S,",SI,SI,SI,NO,SI,ND,NO,SI,LENTICO
